TraderId,Date,Pnl,Commission,Slippage
DLp@192.168.1.55@15165,20170103,-23793559.5,0,0
DLp@192.168.1.55@15165,20170104,-10893558.75,0,0
DLp@192.168.1.55@15165,20170105,-4849517.875,0,0
DLp@192.168.1.55@15165,20170106,3146440.25000007,0,0
DLp@192.168.1.55@15165,20170109,-10750683.875,0,0
DLp@192.168.1.55@15165,20170110,-8781822.0,0,0
DLp@192.168.1.55@15165,20170111,-10398202.875,0,0
DLp@192.168.1.55@15165,20170112,3215275.0,0,0
DLp@192.168.1.55@15165,20170113,-625239.125,0,0
DLp@192.168.1.55@15165,20170116,8569326.875,0,0
DLp@192.168.1.55@15165,20170117,-1229831.75,0,0
DLp@192.168.1.55@15165,20170118,1320.49999998304,0,0
DLp@192.168.1.55@15165,20170119,-2208603.0,0,0
DLp@192.168.1.55@15165,20170120,-2847155.25000001,0,0
DLp@192.168.1.55@15165,20170123,-3805975.24999999,0,0
DLp@192.168.1.55@15165,20170124,17824124.5,0,0
DLp@192.168.1.55@15165,20170125,-11364455.125,0,0
DLp@192.168.1.55@15165,20170126,-2624651.74999999,0,0
DLp@192.168.1.55@15165,20170203,13171301.125,0,0
DLp@192.168.1.55@15165,20170206,-1288215.49999994,0,0
DLp@192.168.1.55@15165,20170207,2212971.25,0,0
DLp@192.168.1.55@15165,20170208,-19041033.125,0,0
DLp@192.168.1.55@15165,20170209,7368090.875,0,0
DLp@192.168.1.55@15165,20170210,-14743449.25,0,0
DLp@192.168.1.55@15165,20170213,21343802.375,0,0
DLp@192.168.1.55@15165,20170214,10059810.625,0,0
DLp@192.168.1.55@15165,20170215,-2605102.00000002,0,0
DLp@192.168.1.55@15165,20170216,6802781.125,0,0
DLp@192.168.1.55@15165,20170217,23030366.625,0,0
DLp@192.168.1.55@15165,20170220,-997957.875000037,0,0
DLp@192.168.1.55@15165,20170221,5375444.87500003,0,0
DLp@192.168.1.55@15165,20170222,2589651.99999999,0,0
DLp@192.168.1.55@15165,20170223,15470220.625,0,0
DLp@192.168.1.55@15165,20170224,-6351300.49999998,0,0
DLp@192.168.1.55@15165,20170227,4015472.25,0,0
DLp@192.168.1.55@15165,20170228,3037626.12500004,0,0
DLp@192.168.1.55@15165,20170301,-12482853.75,0,0
DLp@192.168.1.55@15165,20170302,-4055693.125,0,0
DLp@192.168.1.55@15165,20170303,-3476468.49999996,0,0
DLp@192.168.1.55@15165,20170306,-8179471.5,0,0
DLp@192.168.1.55@15165,20170307,-10100628.375,0,0
DLp@192.168.1.55@15165,20170308,-23804791.0,0,0
DLp@192.168.1.55@15165,20170309,-10577013.75,0,0
DLp@192.168.1.55@15165,20170310,22816424.4999999,0,0
DLp@192.168.1.55@15165,20170313,-10332570.2500001,0,0
DLp@192.168.1.55@15165,20170314,11724175.375,0,0
DLp@192.168.1.55@15165,20170315,-16502560.875,0,0
DLp@192.168.1.55@15165,20170316,-11352533.625,0,0
DLp@192.168.1.55@15165,20170317,4041981.375,0,0
DLp@192.168.1.55@15165,20170320,4016584.875,0,0
DLp@192.168.1.55@15165,20170321,-3320436.25,0,0
DLp@192.168.1.55@15165,20170322,4665276.0,0,0
DLp@192.168.1.55@15165,20170323,-18316197.125,0,0
DLp@192.168.1.55@15165,20170324,1242504.49999998,0,0
DLp@192.168.1.55@15165,20170327,19418617.5,0,0
DLp@192.168.1.55@15165,20170328,-1389372.75000011,0,0
DLp@192.168.1.55@15165,20170329,-4854139.25,0,0
DLp@192.168.1.55@15165,20170330,15532590.375,0,0
DLp@192.168.1.55@15165,20170331,2376581.37499997,0,0
DLp@192.168.1.55@15165,20170405,-10956763.75,0,0
DLp@192.168.1.55@15165,20170406,-3131732.75,0,0
DLp@192.168.1.55@15165,20170407,11082630.5,0,0
DLp@192.168.1.55@15165,20170410,20462815.875,0,0
DLp@192.168.1.55@15165,20170411,662729.875000025,0,0
DLp@192.168.1.55@15165,20170412,9658328.37500003,0,0
DLp@192.168.1.55@15165,20170413,-13248208.625,0,0
DLp@192.168.1.55@15165,20170414,6435000.0,0,0
DLp@192.168.1.55@15165,20170417,-3963313.375,0,0
DLp@192.168.1.55@15165,20170418,11023194.3750001,0,0
DLp@192.168.1.55@15165,20170419,8142034.25000011,0,0
DLp@192.168.1.55@15165,20170420,-3629755.5,0,0
DLp@192.168.1.55@15165,20170421,-1454252.625,0,0
DLp@192.168.1.55@15165,20170424,-6131619.75,0,0
DLp@192.168.1.55@15165,20170425,20213004.4999999,0,0
DLp@192.168.1.55@15165,20170426,-6167213.49999995,0,0
DLp@192.168.1.55@15165,20170427,-10975687.75,0,0
DLp@192.168.1.55@15165,20170428,336344.374999921,0,0
DLp@192.168.1.55@15165,20170502,-14128699.375,0,0
DLp@192.168.1.55@15165,20170503,-335660.625,0,0
DLp@192.168.1.55@15165,20170504,-5901647.5,0,0
DLp@192.168.1.55@15165,20170505,379594.375,0,0
DLp@192.168.1.55@15165,20170508,25758445.75,0,0
DLp@192.168.1.55@15165,20170509,4906432.74999996,0,0
DLp@192.168.1.55@15165,20170510,-3491511.0,0,0
DLp@192.168.1.55@15165,20170511,27234803.875,0,0
DLp@192.168.1.55@15165,20170512,-3539722.0,0,0
DLp@192.168.1.55@15165,20170515,-2037669.0,0,0
DLp@192.168.1.55@15165,20170516,2389815.375,0,0
DLp@192.168.1.55@15165,20170517,7846766.50000004,0,0
DLp@192.168.1.55@15165,20170518,-4776682.375,0,0
DLp@192.168.1.55@15165,20170519,-4770564.62500004,0,0
DLp@192.168.1.55@15165,20170522,12959522.625,0,0
DLp@192.168.1.55@15165,20170523,-10833910.625,0,0
DLp@192.168.1.55@15165,20170524,-5790424.62500004,0,0
DLp@192.168.1.55@15165,20170525,-2399007.37499993,0,0
DLp@192.168.1.55@15165,20170526,-6632984.3750001,0,0
DLp@192.168.1.55@15165,20170531,22256024.125,0,0
DLp@192.168.1.55@15165,20170601,4620477.87500001,0,0
DLp@192.168.1.55@15165,20170602,-2473534.99999994,0,0
DLp@192.168.1.55@15165,20170605,-4628971.625,0,0
DLp@192.168.1.55@15165,20170606,3895795.375,0,0
DLp@192.168.1.55@15165,20170607,11041745.0,0,0
DLp@192.168.1.55@15165,20170608,3200519.87499997,0,0
DLp@192.168.1.55@15165,20170609,-2185655.625,0,0
DLp@192.168.1.55@15165,20170612,-24333465.75,0,0
DLp@192.168.1.55@15165,20170613,12045488.75,0,0
DLp@192.168.1.55@15165,20170614,366323.37500009,0,0
DLp@192.168.1.55@15165,20170615,347828.374999992,0,0
DLp@192.168.1.55@15165,20170616,-14803529.125,0,0
DLp@192.168.1.55@15165,20170619,9798904.25000004,0,0
DLp@192.168.1.55@15165,20170620,-18187804.625,0,0
DLp@192.168.1.55@15165,20170621,-13749351.3750001,0,0
DLp@192.168.1.55@15165,20170622,6090424.25,0,0
DLp@192.168.1.55@15165,20170623,-5023328.62499993,0,0
DLp@192.168.1.55@15165,20170626,714995.625,0,0
DLp@192.168.1.55@15165,20170627,-6450271.50000006,0,0
DLp@192.168.1.55@15165,20170628,2789962.25,0,0
DLp@192.168.1.55@15165,20170629,-7452198.75000002,0,0
DLp@192.168.1.55@15165,20170630,592917.875,0,0
DLp@192.168.1.55@15165,20170703,4998963.125,0,0
DLp@192.168.1.55@15165,20170704,-12618202.875,0,0
DLp@192.168.1.55@15165,20170705,11587437.0,0,0
DLp@192.168.1.55@15165,20170706,14336292.0,0,0
DLp@192.168.1.55@15165,20170707,-346118.75,0,0
DLp@192.168.1.55@15165,20170710,14827691.75,0,0
DLp@192.168.1.55@15165,20170711,2065015.5,0,0
DLp@192.168.1.55@15165,20170712,-6124406.625,0,0
DLp@192.168.1.55@15165,20170713,-3405793.75000008,0,0
DLp@192.168.1.55@15165,20170714,-10245247.375,0,0
DLp@192.168.1.55@15165,20170717,4557606.5,0,0
DLp@192.168.1.55@15165,20170718,-16236354.75,0,0
DLp@192.168.1.55@15165,20170719,-4203738.375,0,0
DLp@192.168.1.55@15165,20170720,-8052097.125,0,0
DLp@192.168.1.55@15165,20170721,-68050.125,0,0
DLp@192.168.1.55@15165,20170724,12677940.875,0,0
DLp@192.168.1.55@15165,20170725,-24509929.625,0,0
DLp@192.168.1.55@15165,20170726,-5195520.375,0,0
DLp@192.168.1.55@15165,20170727,17161565.875,0,0
DLp@192.168.1.55@15165,20170728,-10911891.25,0,0
DLp@192.168.1.55@15165,20170731,13328386.875,0,0
DLp@192.168.1.55@15165,20170801,-7351763.5,0,0
DLp@192.168.1.55@15165,20170802,-3995319.37499998,0,0
DLp@192.168.1.55@15165,20170803,-13319482.75,0,0
DLp@192.168.1.55@15165,20170804,-5646170.12500003,0,0
DLp@192.168.1.55@15165,20170807,4809172.25,0,0
DLp@192.168.1.55@15165,20170808,-10351889.625,0,0
DLp@192.168.1.55@15165,20170809,-8598106.0,0,0
DLp@192.168.1.55@15165,20170810,3410995.375,0,0
DLp@192.168.1.55@15165,20170811,6148681.87500001,0,0
DLp@192.168.1.55@15165,20170814,-6244636.37499999,0,0
DLp@192.168.1.55@15165,20170815,-12997284.625,0,0
DLp@192.168.1.55@15165,20170816,-13109835.5,0,0
DLp@192.168.1.55@15165,20170817,-7625160.75,0,0
DLp@192.168.1.55@15165,20170818,-12430713.5,0,0
DLp@192.168.1.55@15165,20170821,-8007205.875,0,0
DLp@192.168.1.55@15165,20170822,18962740.25,0,0
DLp@192.168.1.55@15165,20170823,-1989453.0,0,0
DLp@192.168.1.55@15165,20170824,6029518.875,0,0
DLp@192.168.1.55@15165,20170825,-7658062.5,0,0
DLp@192.168.1.55@15165,20170828,-343339.125000025,0,0
DLp@192.168.1.55@15165,20170829,-8038812.00000001,0,0
DLp@192.168.1.55@15165,20170830,-3372418.875,0,0
DLp@192.168.1.55@15165,20170831,1686942.24999992,0,0
DLp@192.168.1.55@15165,20170901,7769994.5,0,0
DLp@192.168.1.55@15165,20170904,2034948.0,0,0
DLp@192.168.1.55@15165,20170905,4685912.0,0,0
DLp@192.168.1.55@15165,20170906,-1339975.75,0,0
DLp@192.168.1.55@15165,20170907,-2007813.125,0,0
DLp@192.168.1.55@15165,20170908,-6697090.87500001,0,0
DLp@192.168.1.55@15165,20170911,22648581.375,0,0
DLp@192.168.1.55@15165,20170912,4273749.0,0,0
DLp@192.168.1.55@15165,20170913,4114607.625,0,0
DLp@192.168.1.55@15165,20170914,20395100.625,0,0
