ZZAP_DLa@192.168.1.53@37201.csv,Sharpe=0.153,Volatility=0.387,0.15/V=0.388,0.12/V=0.310
ZZAP_DLc@192.168.1.53@37202.csv,Sharpe=0.433,Volatility=0.372,0.15/V=0.403,0.12/V=0.322
ZZAP_DLcs@192.168.1.53@37203.csv,Sharpe=0.870,Volatility=0.375,0.15/V=0.400,0.12/V=0.320
ZZAP_DLjd@192.168.1.53@37204.csv,Sharpe=1.209,Volatility=0.380,0.15/V=0.395,0.12/V=0.316
ZZAP_DLm@192.168.1.53@37205.csv,Sharpe=0.710,Volatility=0.424,0.15/V=0.354,0.12/V=0.283
ZZAP_DLp@192.168.1.53@37206.csv,Sharpe=0.263,Volatility=0.412,0.15/V=0.364,0.12/V=0.291
ZZAP_DLy@192.168.1.53@37207.csv,Sharpe=0.418,Volatility=0.394,0.15/V=0.380,0.12/V=0.304
ZZAP_ZZCF@192.168.1.53@37208.csv,Sharpe=0.564,Volatility=0.385,0.15/V=0.390,0.12/V=0.312
ZZAP_ZZCJ@192.168.1.53@37209.csv,Sharpe=1.163,Volatility=0.204,0.15/V=0.734,0.12/V=0.587
ZZAP_ZZOI@192.168.1.53@37210.csv,Sharpe=-0.782,Volatility=0.395,0.15/V=0.380,0.12/V=0.304
ZZAP_ZZRM@192.168.1.53@37211.csv,Sharpe=0.233,Volatility=0.418,0.15/V=0.359,0.12/V=0.287
ZZAP_ZZSR@192.168.1.53@37212.csv,Sharpe=0.602,Volatility=0.398,0.15/V=0.376,0.12/V=0.301
* Portfolio,Sharpe=0.538, Volatility=0.164, 0.15/V=0.913, 0.12/V=0.730
